Domain Code,Domain,Area Code (FAO),Area,ElementCode_Production,Element,Item Code (FAO)_867,Item_Production,Year Code,Year,Unit_Production,Value_Production,Flag_Production,FlagDescription_Production,ElementCode_Yield,Element_Yield,Item Code (FAO)_Yield,Item_Yield,Year Code_Yield,Year_Yield,Unit_Yield,Value_Yield,Flag_Yield,FlagDescription_Yield
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle_",1961,1961,tonnes,1369078,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1961,1961,hg/An,1917,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1962,1962,tonnes,1355958,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1962,1962,hg/An,1940,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1963,1963,tonnes,1360928,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1963,1963,hg/An,1926,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1964,1964,tonnes,1437185,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1964,1964,hg/An,1910,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1965,1965,tonnes,1496849,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1965,1965,hg/An,1909,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1966,1966,tonnes,1452331,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1966,1966,hg/An,1909,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1967,1967,tonnes,1505502,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1967,1967,hg/An,1928,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1968,1968,tonnes,1694447,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1968,1968,hg/An,1941,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1969,1969,tonnes,1826440,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1969,1969,hg/An,1927,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1970,1970,tonnes,1845182,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1970,1970,hg/An,1930,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1971,1971,tonnes,1794200,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1971,1971,hg/An,1933,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1972,1972,tonnes,2095200,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1972,1972,hg/An,1930,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1973,1973,tonnes,2202000,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1973,1973,hg/An,2039,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1974,1974,tonnes,2030000,*,Unofficial figure,5417,Yield/Carcass Weight,867,"Meat, cattle",1974,1974,hg/An,1933,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1975,1975,tonnes,2156979,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1975,1975,hg/An,1876,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1976,1976,tonnes,2370000,F,FAO estimate,5417,Yield/Carcass Weight,867,"Meat, cattle",1976,1976,hg/An,1852,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1977,1977,tonnes,2445520,,Official data,5417,Yield/Carcass Weight,867,"Meat, cattle",1977,1977,hg/An,1772,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1978,1978,tonnes,2570000,F,FAO estimate,5417,Yield/Carcass Weight,867,"Meat, cattle",1978,1978,hg/An,1772,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1979,1979,tonnes,2650000,F,FAO estimate,5417,Yield/Carcass Weight,867,"Meat, cattle",1979,1979,hg/An,1791,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1980,1980,tonnes,2850000,F,FAO estimate,5417,Yield/Carcass Weight,867,"Meat, cattle",1980,1980,hg/An,1804,Fc,Calculated data
QCL,Crops and livestock products,21,Brazil,5510,Production,867,"Meat, cattle",1981,1981,tonnes,3000000,F,FAO estimate,5417,Yield/Carcass Weight,867,"Meat, cattle",1981,1981,hg/An,1818,Fc,Calculated data
