year,cumulative_co2,No_Smoothing,Lowess
1880,18613190000,-0.15,-0.08,
1881,19495597000,-0.07,-0.12,
1882,20427522000,-0.1,-0.16,
1883,21418557000,-0.17,-0.2,
1884,22420735000,-0.28,-0.23,
1885,23430410000,-0.33,-0.26,
1886,24455889000,-0.31,-0.27,
1887,25532650000,-0.36,-0.27,
1888,26724926000,-0.17,-0.26,
1889,27916731000,-0.1,-0.25,
1890,29215194000,-0.34,-0.25,
1891,30574074000,-0.22,-0.25,
1892,31944169000,-0.27,-0.26,
1893,33297844000,-0.31,-0.25,
1894,34698708000,-0.3,-0.23,
1895,36183990000,-0.22,-0.22,
1896,37717701000,-0.11,-0.2,
1897,39324011000,-0.11,-0.18,
1898,41018288000,-0.27,-0.16,
1899,42869194000,-0.17,-0.17,
1900,44821419000,-0.08,-0.2,
1901,46838180000,-0.16,-0.23,
1902,48905978000,-0.28,-0.26,
1903,51162055000,-0.37,-0.28,
1904,53443912000,-0.47,-0.31,
1905,55873544000,-0.26,-0.34,
1906,58425413000,-0.22,-0.36,
1907,61310694000,-0.38,-0.37,
1908,64087126000,-0.42,-0.39,
1909,66974209000,-0.48,-0.4,
1910,70001798000,-0.43,-0.41,
1911,73084260000,-0.44,-0.39,
1912,76312592000,-0.36,-0.35,
1913,79805004000,-0.34,-0.32,
1914,82973345000,-0.15,-0.31,
1915,86098434000,-0.14,-0.3,
1916,89471588000,-0.36,-0.3,
1917,92999313000,-0.46,-0.3,
1918,96478499000,-0.3,-0.3,
1919,99493373000,-0.28,-0.3,
1920,1.03001E+11,-0.27,-0.28,
1921,1.06077E+11,-0.19,-0.27,
1922,1.09303E+11,-0.29,-0.26,
1923,1.12965E+11,-0.27,-0.24,
1924,1.16637E+11,-0.27,-0.23,
1925,1.2035E+11,-0.22,-0.22,
1926,1.23995E+11,-0.11,-0.22,
1927,1.27976E+11,-0.22,-0.21,
1928,1.31939E+11,-0.2,-0.2,
1929,1.36194E+11,-0.36,-0.19,
