Reasons,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,Latest, Parent,Text
commercial_crops,280000,415000,550000,747000,328000,188000,79000,52000,57000,100000,52000,118000,87000,,Commercial crops
flooding_due_to_dams,0,79000,0,26000,17000,17000,9000,0,9000,0,17000,17000,0,,Flooding due to dams
natural_disturbances,0,35000,35000,22000,26000,26000,22000,17000,31000,44000,87000,52000,13000,,Natural disturbances
pasture,1520000,2568000,2761000,2564000,2665000,1861000,1577000,1345000,847000,616000,738000,546000,695000,,Beef pasture
selective_logging,96000,96000,149000,131000,140000,52000,96000,61000,87000,114000,44000,166000,131000,,Selective logging
fire,26000,114000,44000,79000,393000,79000,446000,70000,44000,537000,122000,70000,26000,,Fire
mining,9000,9000,0,0,0,0,9000,9000,0,4000,0,0,35000,,Mining
other_infrastructure,9000,13000,9000,13000,13000,9000,13000,17000,9000,9000,0,13000,4000,,Other infrastructure
roads,13000,31000,35000,57000,35000,17000,13000,48000,9000,22000,9000,31000,17000,,Roads
tree_plantations_including_palm,44000,44000,26000,92000,52000,26000,39000,17000,35000,9000,26000,26000,35000,,Tree plantations including palm
small-scale_clearing,249000,293000,358000,415000,288000,306000,310000,397000,301000,271000,271000,232000,284000,,Small-scale clearing
