country,Code,Year,cereals,roots_tubers,vegetables,fruits,milk_equivalents,red_meat,poultry,eggs,seafood,legumes,nuts,oils,sugar
Afghanistan,AFG,2017,485.7534247,17.23287671,132.4383562,104.739726,148.4657534,18.52054795,4.191780822,4.109589041,0.684931507,5.780821918,1.506849315,14.32876712,24.98630137
Albania,ALB,2017,399.3424658,124.9863014,813.3150685,468.7123288,1085.863014,84.87671233,44.82191781,40.16438356,14.68493151,16.43835616,10.46575342,31.89041096,58.08219178
Algeria,DZA,2017,598.7945205,180.9315068,509.8082192,279.2328767,333.4520548,31.01369863,17.47945205,23.09589041,10.57534247,20.93150685,5.04109589,46.35616438,73.01369863
Angola,AGO,2017,284.9589041,566.5753425,72.08219178,187.7260274,26,34.52054795,28.93150685,1.835616438,55.39726027,20.35616438,0.191780822,21.97260274,31.04109589
Antigua and Barbuda,ATG,2017,208.0273973,50.38356164,189.0684932,372.7945205,220.8767123,48.43835616,148.2191781,7.890410959,143.9452055,6.383561644,0.876712329,28.4109589,74.30136986
Argentina,ARG,2017,357.890411,129.4520548,185.1232877,257.1780822,435.4520548,181.2054795,115.7260274,42.46575342,19.97260274,2.246575342,0.849315068,50.10958904,111.6712329
Armenia,ARM,2017,402.4657534,112.2739726,921.0410959,336.3287671,548.1917808,80.98630137,44,31.89041096,15.97260274,7.945205479,6.109589041,36.05479452,80.68493151
Australia,AUS,2017,273.1780822,138.5479452,255.4246575,208.109589,601.3150685,196.4109589,130.5479452,22,70.87671233,2.712328767,15.78082192,79.20547945,99.5890411
Austria,AUT,2017,317.0958904,155.9452055,260.8493151,235.1780822,631.8630137,185.890411,49.8630137,40.24657534,38.60273973,2.328767123,12.08219178,85.06849315,115.8082192
Azerbaijan,AZE,2017,568.109589,204.1643836,437.2876712,208.2739726,361.1506849,57.45205479,35.91780822,24.2739726,8.767123288,1.506849315,8.273972603,20.73972603,58.79452055
Bahamas,BHS,2017,115.4246575,32.68493151,240.630137,411.2876712,67.42465753,64.10958904,118.2739726,19.36986301,74.82191781,1.561643836,1.534246575,16.02739726,86.73972603
Bangladesh,BGD,2017,787.0684932,140.9589041,96.1369863,75.67123288,49.5890411,6.95890411,4.109589041,7.808219178,66.60273973,18.65753425,2.465753425,20.52054795,15.34246575
Barbados,BRB,2017,269.7260274,136.4657534,182.9863014,196.3561644,73.69863014,67.23287671,128.1643836,26.05479452,109.5068493,21.36986301,2.849315068,36.4109589,124.8493151
Belarus,BLR,2017,334.630137,488.4657534,468.0547945,190,330.8493151,146.0273973,76.65753425,40.30136986,44.60273973,0.054794521,7.452054795,64.76712329,69.50684932
Belgium,BEL,2017,371.3150685,245.8082192,379.4246575,231.6986301,647.6438356,140.6575342,34.65753425,36.10958904,63.04109589,6.301369863,7.287671233,79.04109589,130.4383562
