Entity-Plant,LUC-Plant,Feed-Plant,Farm-Plant,Processing-Plant,Transport-Plant,Packging-Plant,Retail-Plant,total-Plant,Entity-Meat,LUC-Meat,Feed-Meat,Farm-Meat,Processing-Meat,Transport-Meat,Packging-Meat,Retail-Meat,total-Meat,Entity,LUC,Feed,Farm,Processing,Transport,Packging,Retail,total,Category
Aquatic Plants,0,0,0,0,0,0,0,0,Fish & Crustaceans (capture),0,0,2.4,0,0.1,0.1,0.1,2.7,Aquatic Plants,0,0,0,0,0,0,0,0,Plant based
Nuts,-2.1,0,2.1,0,0.1,0.1,0,0.2,Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,Nuts,-2.1,0,2.1,0,0.1,0.1,0,0.2,Plant based
Potatoes,0,0,0.2,0,0.1,0,0,0.3,"Butter, Cream & Ghee",0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,Potatoes,0,0,0.2,0,0.1,0,0,0.3,Plant based
Onions & Leeks,0,0,0.2,0,0.1,0,0,0.3,Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,Onions & Leeks,0,0,0.2,0,0.1,0,0,0.3,Plant based
Root Vegetables,0,0,0.2,0,0.1,0,0,0.3,Fish (farmed),0.5,0.8,3.6,0,0.1,0.1,0,5.1,Root Vegetables,0,0,0.2,0,0.1,0,0,0.3,Plant based
Apples,0,0,0.2,0,0.1,0,0,0.3,Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,Apples,0,0,0.2,0,0.1,0,0,0.3,Plant based
Citrus Fruit,-0.1,0,0.3,0,0.1,0,0,0.3,Animal Fats,2,2.4,1.2,0.4,0.3,0.3,0.2,6.8,Citrus Fruit,-0.1,0,0.3,0,0.1,0,0,0.3,Plant based
Brassicas,0,0,0.3,0,0.1,0,0,0.4,Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,Brassicas,0,0,0.3,0,0.1,0,0,0.4,Plant based
Other Vegetables,0,0,0.2,0.1,0.2,0,0,0.5,Crustaceans (farmed),0.2,2.5,8.4,0,0.2,0.3,0.2,11.8,Other Vegetables,0,0,0.2,0.1,0.2,0,0,0.5,Plant based
Other Fruit,0.1,0,0.4,0,0.2,0,0,0.7,Bovine Meat (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,Other Fruit,0.1,0,0.4,0,0.2,0,0,0.7,Plant based
